,Unnamed: 0,Customer ID,Churn Label,Account Length (in months),Local Calls,Local Mins,Intl Calls,Intl Mins,Intl Active,Intl Plan,Extra International Charges,Customer Service Calls,Avg Monthly GB Download,Unlimited Data Plan,Extra Data Charges,State,Phone Number,Gender,Age,Under 30,Senior,Group,Number of Customers in Group,Device Protection & Online Backup,Contract Type,Payment Method,Monthly Charge,Total Charges,Churn Category,Churn Reason,Age Group,Age Categorize
10,10,4139-EXJK,0,69,430,899.4,0.0,0.0,No,no,0.0,0,2,Yes,0,VT,386-2923,Male,59,No,No,No,0,Yes,Two Year,Direct Debit,67,4636,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
11,11,1133-QYCQ,0,21,85,227.6,0.0,0.0,No,no,0.0,0,18,No,20,TX,373-2782,Female,33,No,No,No,0,Yes,Month-to-Month,Direct Debit,56,1161,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
12,12,3423-EQRP,0,10,31,61.3,0.0,0.0,No,no,0.0,0,0,No,0,CO,393-7984,Male,44,No,No,No,0,No,One Year,Direct Debit,13,128,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
13,13,6070-AXDL,0,59,299,585.2,0.0,0.0,No,no,0.0,0,19,Yes,0,SC,350-2565,Female,27,Yes,No,No,0,No,Two Year,Credit Card,31,1795,Not Filling Responses,Not Filling Responses,20-40,Under 30
14,14,1260-HOAY,0,28,36,110.7,0.0,0.0,No,no,0.0,0,7,Yes,0,NE,331-3698,Female,27,Yes,No,No,0,No,Month-to-Month,Direct Debit,22,602,Not Filling Responses,Not Filling Responses,20-40,Under 30
15,15,4633-QIYZ,0,71,126,352.9,0.0,0.0,No,no,0.0,0,14,Yes,0,MO,353-2630,Male,35,No,No,No,0,Yes,Two Year,Credit Card,54,3779,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
16,16,7650-WQWA,0,70,128,351.2,0.0,0.0,No,no,0.0,0,4,Yes,0,IL,416-8428,Female,74,No,Yes,No,0,Yes,Two Year,Credit Card,52,3675,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
17,17,9039-LTDP,0,2,8,20.9,0.0,0.0,No,no,0.0,0,4,No,7,NH,370-3359,Male,76,No,Yes,No,0,Yes,One Year,Credit Card,55,104,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
18,18,9552-QCAO,0,28,158,311.7,0.0,0.0,No,no,0.0,0,4,Yes,0,LA,383-1121,Female,49,No,No,No,0,Yes,One Year,Credit Card,40,1122,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
19,19,8785-ENDQ,0,1,2,6.0,0.0,0.0,No,no,0.0,0,0,No,0,AZ,360-1596,Male,34,No,No,No,0,No,Month-to-Month,Direct Debit,11,11,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
20,20,0640-LNBK,0,1,2,7.0,0.0,0.0,No,no,0.0,0,4,Yes,0,OK,395-2854,Male,76,No,Yes,No,0,No,One Year,Direct Debit,29,29,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
21,21,4782-CHZM,0,73,162,435.5,0.0,0.0,No,no,0.0,0,7,Yes,0,GA,362-1407,Female,58,No,No,No,0,No,Two Year,Direct Debit,43,3121,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
22,22,1380-YANO,0,47,264,759.0,0.0,0.0,No,no,0.0,0,23,Yes,0,MA,353-3305,Female,21,Yes,No,No,0,Yes,Month-to-Month,Credit Card,41,1926,Not Filling Responses,Not Filling Responses,20-40,Under 30
23,23,2754-HZFE,0,10,46,105.6,0.0,0.0,No,no,0.0,0,2,Yes,0,GA,372-9976,Male,51,No,No,No,0,No,One Year,Credit Card,27,262,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
24,24,4676-RXAH,0,70,187,422.5,1050.0,1022.0,Yes,yes,0.0,0,5,No,36,MD,383-6029,Female,56,No,No,No,0,No,Two Year,Credit Card,24,1676,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
25,25,6145-MBHF,0,20,40,141.1,0.0,0.0,No,no,0.0,0,0,No,0,AR,353-7289,Female,28,Yes,No,No,0,No,One Year,Credit Card,9,180,Not Filling Responses,Not Filling Responses,20-40,Under 30
26,26,5992-ZZKY,0,61,229,487.1,0.0,0.0,No,no,0.0,0,6,Yes,0,ID,390-7274,Female,39,No,No,No,0,Yes,Two Year,Credit Card,52,3151,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
27,27,8539-DXRY,0,13,34,103.0,0.0,0.0,No,no,0.0,0,7,Yes,0,WI,352-1237,Female,41,No,No,No,0,No,Month-to-Month,Direct Debit,32,417,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
28,28,7420-TFLD,0,46,234,554.8,0.0,0.0,No,no,0.0,0,6,Yes,0,OR,353-3061,Female,53,No,No,No,0,No,Month-to-Month,Direct Debit,28,1316,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
29,29,0346-QDGF,0,2,10,17.7,0.0,0.0,No,no,0.0,0,24,Yes,0,MI,363-5450,Male,22,Yes,No,No,0,No,Month-to-Month,Credit Card,21,41,Not Filling Responses,Not Filling Responses,20-40,Under 30
30,30,1564-AAIM,0,53,409,846.2,0.0,0.0,No,no,0.0,0,37,Yes,0,ID,398-1294,Male,25,Yes,No,No,0,No,Two Year,Credit Card,51,2680,Not Filling Responses,Not Filling Responses,20-40,Under 30
31,31,8995-MKVE,0,66,204,397.9,0.0,0.0,No,no,0.0,0,3,No,16,WY,405-7146,Female,62,No,No,No,0,Yes,Two Year,Credit Card,35,2351,Not Filling Responses,Not Filling Responses,60-80,Between 30 - 65
32,32,5708-KVWR,0,43,86,255.2,0.0,0.0,No,no,0.0,0,7,Yes,0,IA,413-4957,Female,69,No,Yes,No,0,No,One Year,Direct Debit,41,1761,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
33,33,6307-TNXU,0,25,72,227.0,0.0,0.0,No,no,0.0,0,1,Yes,0,VA,349-4396,Female,63,No,No,No,0,No,One Year,Credit Card,32,799,Not Filling Responses,Not Filling Responses,60-80,Between 30 - 65
34,34,7343-GNPD,0,60,233,595.4,0.0,0.0,No,no,0.0,0,8,Yes,0,WY,353-3759,Female,77,No,Yes,No,0,Yes,One Year,Credit Card,44,2639,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
35,35,8190-LOMP,0,63,128,316.7,0.0,0.0,No,no,0.0,0,3,Yes,0,CO,340-5121,Female,43,No,No,No,0,No,One Year,Credit Card,47,2999,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
36,36,9766-ZUAF,0,65,241,456.7,0.0,0.0,No,no,0.0,0,2,Yes,0,CO,370-7574,Male,82,No,Yes,No,0,Yes,One Year,Direct Debit,64,4167,Not Filling Responses,Not Filling Responses,>80,Above 65 / Senior
37,37,0521-NSRI,0,36,88,179.2,0.0,0.0,No,no,0.0,0,0,No,0,WI,403-9733,Female,59,No,No,No,0,No,Two Year,Credit Card,12,440,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
38,38,1260-SRKC,0,73,460,1022.8,0.0,0.0,No,no,0.0,0,7,No,33,OK,355-7251,Female,43,No,No,No,0,Yes,Two Year,Credit Card,37,2702,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
39,39,5130-MPZE,0,47,178,421.5,0.0,0.0,No,no,0.0,0,4,Yes,0,ID,359-5893,Female,33,No,No,No,0,Yes,Month-to-Month,Direct Debit,48,2254,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
40,40,7466-XCMA,1,61,107,242.5,0.0,0.0,No,no,0.0,0,13,Yes,0,CA,405-3371,Male,29,Yes,No,No,0,No,Month-to-Month,Direct Debit,45,2717,Not Filling Responses,Not Filling Responses,20-40,Under 30
41,41,2267-OQZH,0,70,187,492.5,0.0,0.0,No,no,0.0,0,9,Yes,0,MN,344-5117,Male,35,No,No,No,0,Yes,Two Year,Direct Debit,24,1715,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
42,42,9314-HLWC,0,18,36,123.2,0.0,0.0,No,no,0.0,0,1,Yes,0,SD,332-8160,Female,46,No,No,No,0,Yes,One Year,Credit Card,19,342,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
43,43,5957-MTAG,0,3,6,16.2,0.0,0.0,No,no,0.0,0,5,Yes,0,WA,352-8305,Female,51,No,No,No,0,No,Month-to-Month,Direct Debit,46,149,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
44,44,6076-RCCT,0,46,300,740.2,184.0,427.8,Yes,yes,0.0,0,15,Yes,0,WY,329-9847,Male,35,No,No,No,0,No,One Year,Direct Debit,50,2325,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
45,45,0476-UFII,0,32,64,126.1,256.0,265.6,Yes,yes,0.0,0,9,No,32,MN,365-9011,Female,59,No,No,No,0,Yes,Two Year,Credit Card,30,960,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
46,46,9560-DMCL,0,46,118,369.6,0.0,0.0,No,no,0.0,0,0,No,0,UT,338-9472,Female,40,No,No,No,0,No,Two Year,Direct Debit,12,543,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
47,47,5297-BENZ,0,11,81,166.7,0.0,0.0,No,no,0.0,0,14,Yes,0,TX,374-8042,Male,29,Yes,No,No,0,Yes,Month-to-Month,Credit Card,48,537,Not Filling Responses,Not Filling Responses,20-40,Under 30
48,48,8822-KJPV,0,1,4,14.0,0.0,0.0,No,no,0.0,0,3,Yes,0,NJ,359-1231,Male,42,No,No,No,0,No,Month-to-Month,Credit Card,27,27,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
49,49,5559-DOEH,0,53,228,695.0,0.0,0.0,No,no,0.0,0,0,No,0,MN,413-7170,Female,24,Yes,No,No,0,No,One Year,Direct Debit,7,372,Not Filling Responses,Not Filling Responses,20-40,Under 30
50,50,0544-HTAB,0,64,94,254.4,0.0,0.0,No,no,0.0,0,5,Yes,0,NM,415-2935,Male,76,No,Yes,No,0,Yes,Two Year,Direct Debit,60,3811,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
51,51,1633-FVON,0,59,300,587.5,0.0,0.0,No,no,0.0,0,0,No,0,NV,399-4246,Male,39,No,No,No,0,No,Two Year,Direct Debit,11,674,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
52,52,1299-WYLC,0,56,168,500.0,0.0,0.0,No,no,0.0,0,10,Yes,0,MN,350-8921,Female,70,No,Yes,No,0,Yes,One Year,Direct Debit,61,3397,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
53,53,1712-GSRD,0,48,251,724.8,0.0,0.0,No,no,0.0,0,4,Yes,0,DC,374-5353,Female,54,No,No,No,0,No,One Year,Credit Card,30,1434,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
54,54,9518-SUYQ,0,28,108,282.4,0.0,0.0,No,no,0.0,0,1,Yes,0,MN,355-8887,Male,85,No,Yes,No,0,No,One Year,Direct Debit,28,796,Not Filling Responses,Not Filling Responses,>80,Above 65 / Senior
55,55,2605-TOXT,0,47,116,281.8,0.0,0.0,No,no,0.0,0,0,No,0,MD,333-1967,Female,47,No,No,No,0,No,One Year,Credit Card,16,755,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
56,56,3733-EZWS,0,42,96,291.8,0.0,0.0,No,no,0.0,0,9,No,51,GA,411-1530,Female,37,No,No,No,0,Yes,Month-to-Month,Direct Debit,59,2452,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
57,57,6341-KAZD,0,48,96,289.8,0.0,0.0,No,no,0.0,0,0,No,0,TX,395-3026,Female,34,No,No,No,0,No,Two Year,Direct Debit,7,340,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
58,58,9484-NQCR,0,9,45,148.0,0.0,0.0,No,no,0.0,0,14,Yes,0,VT,388-6441,Male,29,Yes,No,No,0,No,Month-to-Month,Credit Card,47,439,Not Filling Responses,Not Filling Responses,20-40,Under 30
59,59,6102-OALZ,0,36,248,534.7,0.0,0.0,No,no,0.0,0,6,Yes,0,IN,402-1251,Female,55,No,No,No,0,No,One Year,Direct Debit,22,786,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
60,60,9351-ELBM,0,51,292,767.8,0.0,0.0,No,no,0.0,0,0,No,0,WV,412-9997,Female,24,Yes,No,No,0,No,Two Year,Direct Debit,12,638,Not Filling Responses,Not Filling Responses,20-40,Under 30
61,61,7023-YWYM,0,46,145,325.3,0.0,0.0,No,no,0.0,0,0,No,0,KY,346-7302,Female,60,No,No,No,0,No,Two Year,Credit Card,13,616,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
62,62,0993-JKUA,0,30,67,179.4,0.0,0.0,No,no,0.0,0,4,Yes,0,NJ,358-9095,Male,46,No,No,No,0,No,Month-to-Month,Credit Card,19,577,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
63,63,1629-PDTQ,0,1,3,7.0,0.0,0.0,No,no,0.0,0,0,Yes,0,LA,334-1275,Male,76,No,Yes,No,0,No,One Year,Direct Debit,42,42,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
64,64,3558-BXMZ,0,68,254,612.2,0.0,0.0,No,no,0.0,0,9,Yes,0,AR,340-4953,Male,61,No,No,No,0,Yes,Two Year,Credit Card,47,3187,Not Filling Responses,Not Filling Responses,60-80,Between 30 - 65
65,65,0388-CPEE,0,64,274,768.0,0.0,0.0,No,no,0.0,0,7,Yes,0,ME,400-9510,Female,48,No,No,No,0,Yes,Month-to-Month,Credit Card,48,3049,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
66,66,2562-HWYM,0,74,407,1108.9,0.0,0.0,No,no,0.0,0,3,Yes,0,AZ,387-6103,Male,56,No,No,No,0,Yes,Two Year,Direct Debit,44,3237,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
67,67,3797-KBSC,0,71,136,355.2,0.0,0.0,No,no,0.0,0,13,Yes,0,MT,370-3450,Male,48,No,No,No,0,No,One Year,Credit Card,31,2180,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
68,68,8928-KDDO,0,53,146,316.3,0.0,0.0,No,no,0.0,0,0,No,0,MS,355-6291,Male,66,No,Yes,No,0,No,Two Year,Direct Debit,7,372,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
69,69,5582-SNME,0,1,5,12.0,0.0,0.0,No,no,0.0,0,0,No,0,IA,379-6506,Male,19,Yes,No,No,0,No,Month-to-Month,Credit Card,12,12,Not Filling Responses,Not Filling Responses,0-20,Under 30
70,70,7652-MWGQ,0,38,197,417.5,0.0,0.0,No,no,0.0,0,11,Yes,0,VT,354-3783,Male,33,No,No,No,0,Yes,One Year,Direct Debit,63,2392,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
71,71,9413-CTHP,0,66,349,864.0,0.0,0.0,No,no,0.0,0,3,Yes,0,KY,401-7594,Female,69,No,Yes,No,0,Yes,One Year,Direct Debit,26,1739,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
72,72,1874-MSLN,0,4,11,33.0,0.0,0.0,No,no,0.0,0,4,Yes,0,AZ,334-2577,Male,34,No,No,No,0,No,Month-to-Month,Credit Card,15,63,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
73,73,4455-SIDH,0,70,236,701.2,0.0,0.0,No,no,0.0,0,12,Yes,0,MI,400-3637,Female,27,Yes,No,No,0,No,One Year,Direct Debit,66,4593,Not Filling Responses,Not Filling Responses,20-40,Under 30
74,74,1457-BNEN,0,31,213,400.0,0.0,0.0,No,no,0.0,0,4,Yes,0,NM,383-4361,Female,58,No,No,No,0,No,One Year,Credit Card,13,407,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
75,75,2274-VJTM,0,42,195,457.2,0.0,0.0,No,no,0.0,0,4,Yes,0,CO,371-4306,Male,54,No,No,No,0,No,One Year,Credit Card,62,2556,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
76,76,2030-STOC,0,70,199,491.9,0.0,0.0,No,no,0.0,0,0,No,0,UT,403-4298,Male,37,No,No,No,0,No,Two Year,Credit Card,12,875,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
77,77,0334-QKJY,0,52,222,577.5,0.0,0.0,No,no,0.0,0,2,Yes,0,MA,337-4697,Female,38,No,No,No,0,Yes,One Year,Credit Card,37,1939,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
78,78,8840-GNVV,0,43,211,474.6,0.0,0.0,No,no,0.0,0,6,Yes,0,AL,383-1509,Female,35,No,No,No,0,Yes,Month-to-Month,Direct Debit,57,2451,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
79,79,8778-MXAA,0,63,249,564.3,0.0,0.0,No,no,0.0,0,6,Yes,0,AZ,407-7035,Female,51,No,No,No,0,No,Two Year,Direct Debit,27,1699,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
80,80,6377-YEVD,0,36,235,399.0,0.0,0.0,No,no,0.0,0,9,Yes,0,NJ,391-4652,Female,65,No,Yes,No,0,No,Two Year,Direct Debit,11,410,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
81,81,0111-ULQC,0,40,118,242.7,0.0,0.0,No,no,0.0,0,0,No,0,MO,409-1244,Female,51,No,No,No,0,No,Two Year,Credit Card,13,525,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
82,82,0921-JRAS,0,55,89,276.3,0.0,0.0,No,no,0.0,0,24,Yes,0,NE,352-7072,Female,27,Yes,No,No,0,Yes,One Year,Credit Card,39,2146,Not Filling Responses,Not Filling Responses,20-40,Under 30
83,83,4190-OQWW,0,5,34,76.3,0.0,0.0,No,no,0.0,0,0,No,0,TX,370-7550,Female,34,No,No,No,0,No,Month-to-Month,Credit Card,10,56,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
84,84,1772-EVXU,0,34,85,306.3,0.0,0.0,No,no,0.0,0,5,Yes,0,AZ,354-4445,Male,57,No,No,No,0,No,Two Year,Direct Debit,44,1497,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
85,85,4640-ROSI,0,73,542,1171.3,0.0,0.0,No,no,0.0,0,0,No,0,MS,414-8718,Male,49,No,No,No,0,No,Two Year,Direct Debit,13,946,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
86,86,7232-MRQS,0,1,6,13.0,0.0,0.0,No,no,0.0,0,0,No,0,TX,409-5939,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,13,13,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
87,87,1736-FGSI,0,71,296,706.0,0.0,0.0,No,no,0.0,0,7,Yes,0,NE,331-4902,Male,78,No,Yes,No,0,No,One Year,Direct Debit,29,2045,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
88,88,1908-BNLT,0,14,58,127.3,0.0,0.0,No,no,0.0,0,7,Yes,0,NE,353-6870,Female,48,No,No,No,0,No,Month-to-Month,Direct Debit,35,502,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
89,89,9998-OFMS,0,64,263,644.9,0.0,0.0,No,no,0.0,0,3,Yes,0,NJ,390-6101,Male,64,No,No,No,0,No,Two Year,Direct Debit,32,2034,Not Filling Responses,Not Filling Responses,60-80,Between 30 - 65
90,90,4988-DNKW,0,46,164,416.1,138.0,515.2,Yes,yes,0.0,0,0,No,0,AL,387-2919,Female,41,No,No,No,0,No,Two Year,Credit Card,17,768,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
91,91,8781-YXBL,0,24,131,355.7,0.0,0.0,No,no,0.0,0,11,Yes,0,NY,374-8525,Female,40,No,No,No,0,No,Month-to-Month,Direct Debit,28,672,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
92,92,4923-PXAV,0,63,211,506.0,0.0,0.0,No,no,0.0,0,0,No,0,FL,379-5592,Female,23,Yes,No,No,0,No,Two Year,Credit Card,9,595,Not Filling Responses,Not Filling Responses,20-40,Under 30
93,93,1867-FBPS,0,60,210,537.5,0.0,0.0,No,no,0.0,0,0,No,0,AK,345-8237,Male,62,No,No,No,0,No,Two Year,Credit Card,13,754,Not Filling Responses,Not Filling Responses,60-80,Between 30 - 65
94,94,5088-QWNF,0,73,265,729.8,0.0,0.0,No,no,0.0,0,3,Yes,0,DE,346-2359,Female,68,No,Yes,No,0,Yes,Two Year,Credit Card,38,2808,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
95,95,5570-GABM,0,59,152,354.6,0.0,0.0,No,no,0.0,0,11,Yes,0,MI,381-4756,Female,38,No,No,No,0,No,Two Year,Direct Debit,59,3479,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
96,96,4316-MSBV,0,63,84,313.7,0.0,0.0,No,no,0.0,0,4,Yes,0,VT,390-2805,Male,33,No,No,No,0,No,One Year,Credit Card,40,2535,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
97,97,1501-UIMO,0,73,124,366.6,511.0,1029.3,Yes,yes,0.0,0,0,No,0,VT,390-2390,Male,70,No,Yes,No,0,No,Two Year,Direct Debit,8,621,Not Filling Responses,Not Filling Responses,60-80,Above 65 / Senior
98,98,5637-EXFL,0,65,121,259.1,0.0,0.0,No,no,0.0,0,3,Yes,0,MI,419-9097,Female,54,No,No,No,0,No,Two Year,Credit Card,55,3552,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
99,99,9631-SNXG,0,3,4,12.5,0.0,0.0,No,no,0.0,0,0,No,0,WA,386-7281,Male,45,No,No,No,0,No,One Year,Credit Card,9,27,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
100,100,9797-UVHV,0,30,146,329.1,0.0,0.0,No,no,0.0,0,1,No,0,LA,390-8760,Male,50,No,No,No,0,Yes,One Year,Credit Card,42,1259,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
101,101,6677-UAIY,0,73,170,366.6,0.0,0.0,No,no,0.0,0,16,Yes,0,OH,336-7600,Female,29,Yes,No,No,0,Yes,One Year,Credit Card,36,2676,Not Filling Responses,Not Filling Responses,20-40,Under 30
102,102,3213-OZLH,0,61,211,484.6,0.0,0.0,No,no,0.0,0,6,Yes,0,RI,383-6293,Male,49,No,No,No,0,Yes,Two Year,Direct Debit,32,1956,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
103,103,9462-HMVN,0,22,115,281.5,0.0,0.0,No,no,0.0,0,8,No,34,OH,370-9116,Female,25,Yes,No,No,0,No,Month-to-Month,Direct Debit,43,924,Not Filling Responses,Not Filling Responses,20-40,Under 30
104,104,6951-KCHP,0,21,103,270.9,0.0,0.0,No,no,0.0,0,0,No,0,VA,328-6289,Male,36,No,No,No,0,No,One Year,Credit Card,8,169,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
105,105,0603-QZRV,0,16,85,239.1,0.0,0.0,No,no,0.0,0,9,Yes,0,MO,350-9994,Male,41,No,No,No,0,Yes,Two Year,Credit Card,24,386,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
106,106,1476-JLHH,0,10,77,137.1,0.0,0.0,No,no,0.0,0,0,No,0,FL,351-4616,Male,43,No,No,No,0,No,Two Year,Direct Debit,15,142,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
107,107,4549-UHYE,0,2,4,11.6,0.0,0.0,No,no,0.0,0,2,Yes,0,IA,406-4710,Female,52,No,No,No,0,No,Month-to-Month,Direct Debit,35,68,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
108,108,3163-BOSK,0,54,330,642.7,0.0,0.0,No,no,0.0,0,1,Yes,0,MI,409-8743,Male,38,No,No,No,0,Yes,Two Year,Direct Debit,43,2293,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
109,109,2547-NBGO,0,11,84,159.0,0.0,0.0,No,no,0.0,0,0,No,0,OK,335-4584,Female,21,Yes,No,No,0,No,One Year,Credit Card,10,117,Not Filling Responses,Not Filling Responses,20-40,Under 30
110,110,5341-UWGY,0,69,248,753.7,0.0,0.0,No,no,0.0,0,0,No,0,DE,361-9845,Male,43,No,No,No,0,No,Two Year,Credit Card,10,695,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
111,111,9859-GGCF,0,70,342,913.1,0.0,0.0,No,no,0.0,0,6,Yes,0,DC,329-9364,Male,38,No,No,No,0,Yes,Two Year,Direct Debit,52,3654,Not Filling Responses,Not Filling Responses,20-40,Between 30 - 65
112,112,4822-HGQI,0,42,151,336.1,0.0,0.0,No,no,0.0,0,11,Yes,0,CO,338-9398,Male,59,No,No,No,0,Yes,One Year,Direct Debit,42,1778,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
113,113,9331-EMHQ,0,14,25,72.1,0.0,0.0,No,no,0.0,0,8,Yes,0,NM,381-2709,Male,51,No,No,No,0,Yes,Two Year,Credit Card,54,780,Not Filling Responses,Not Filling Responses,40-60,Between 30 - 65
